Selected,totalpop,pct_black,nodeid,avgdeg,num_i,num_r,num_s,t
0,1165,0.3467811159,1,6,0,0,1165,0
0,1861,0.6432025793,2,6,0,0,1861,0
0,2918,0.3660041124,3,6,0,0,2918,0
0,1588,0.2380352645,4,6,0,0,1588,0
0,1219,0.3240360952,5,6,0,0,1219,0
0,903,0.4318936877,6,6,0,0,903,0
0,1117,0.1548791406,7,6,0,0,1117,0
1,995,0.3698492462,8,6,1,0,994,0
0,714,0.5224089636,9,6,0,0,714,0
0,869,0.1150747986,10,6,0,0,869,0
0,849,0.1307420495,11,6,0,0,849,0
0,1206,0.2371475954,12,6,0,0,1206,0
0,1538,0.0754226268,13,6,0,0,1538,0
0,789,0.010139417,14,6,0,0,789,0
0,1189,0.0126156434,15,6,0,0,1189,0
0,1057,0.0416272469,16,6,0,0,1057,0
0,2054,0.0418695229,17,6,0,0,2054,0
0,924,0.2705627706,18,6,0,0,924,0
0,616,0.2435064935,19,6,0,0,616,0
0,1039,0.635226179,20,6,0,0,1039,0
0,1191,0.6490344249,21,6,0,0,1191,0
0,2989,0.4309133489,22,6,0,0,2989,0
0,2406,0.3911055694,23,6,0,0,2406,0
0,622,0.0723472669,24,6,0,0,622,0
0,909,0.2761276128,25,6,0,0,909,0
0,1475,0.4386440678,26,6,0,0,1475,0
0,1347,0.3815887157,27,6,0,0,1347,0
0,845,0.4615384615,28,6,0,0,845,0
0,1154,0.849220104,29,6,0,0,1154,0
0,1296,0.5586419753,30,6,0,0,1296,0
0,1175,0.6987234043,31,6,0,0,1175,0
0,1906,0.5036726128,32,6,0,0,1906,0
0,2654,0.3436322532,33,6,0,0,2654,0
0,898,0.8363028953,34,6,0,0,898,0
0,641,0.6411856474,35,6,0,0,641,0
0,1583,0.3392293114,36,6,0,0,1583,0
0,2321,0.6092201637,37,6,0,0,2321,0
0,1296,0.7677469136,38,6,0,0,1296,0
0,1408,0.8245738636,39,6,0,0,1408,0
0,3122,0.8081358104,40,6,0,0,3122,0
0,469,0.9125799574,41,6,0,0,469,0
0,3006,0.8882235529,42,6,0,0,3006,0
0,626,0.7332268371,43,6,0,0,626,0
0,1916,0.9133611691,44,6,0,0,1916,0
0,2911,0.2483682583,45,6,0,0,2911,0
0,2827,0.3484258932,46,6,0,0,2827,0
0,947,0.0359028511,47,6,0,0,947,0
0,2129,0.3536871771,48,6,0,0,2129,0
0,1642,0.3093788063,49,6,0,0,1642,0
0,1407,0.2260127932,50,6,0,0,1407,0
0,3190,0.3520376176,51,6,0,0,3190,0
0,1517,0.2069874753,52,6,0,0,1517,0
0,751,0.1278295606,53,6,0,0,751,0
0,2885,0.3077989601,54,6,0,0,2885,0
0,1210,0.2066115702,55,6,0,0,1210,0
0,1431,0.0461215933,56,6,0,0,1431,0
0,1882,0.0908607864,57,6,0,0,1882,0
0,2647,0.0793350963,58,6,0,0,2647,0
0,2070,0.3212560386,59,6,0,0,2070,0
0,1747,0.3886662851,60,6,0,0,1747,0
0,2084,0.2120921305,61,6,0,0,2084,0
0,1371,0.3041575492,62,6,0,0,1371,0
0,3313,0.3229701177,63,6,0,0,3313,0
0,1720,0.3063953488,64,6,0,0,1720,0
0,1159,0.0491803279,65,6,0,0,1159,0
0,1862,0.1820622986,66,6,0,0,1862,0
0,438,0,67,6,0,0,438,0
0,1994,0.0235707121,68,6,0,0,1994,0
0,1589,0.0717432347,69,6,0,0,1589,0
0,5260,0.738973384,70,6,0,0,5260,0
0,681,0.9985315712,71,6,0,0,681,0
0,1027,0.9308666018,72,6,0,0,1027,0
0,4769,0.6768714615,73,6,0,0,4769,0
0,3022,0.4599602912,74,6,0,0,3022,0
0,1326,0.4901960784,75,6,0,0,1326,0
0,1161,0.2850990525,76,6,0,0,1161,0
0,1821,0.6847885777,77,6,0,0,1821,0
